Date,Opponent,Home/Road,Period,Time,Situation,G,A1,A2
2014-02-27,MTL,H,3,12:29,PPG,Crosby,Malkin,Niskanen
2014-03-01,CHI,R,3,6:21,ES,Neal,,
2014-03-04,NSH,R,2,0:27,ES,Niskanen,Crosby,Gibbons
2014-03-04,NSH,R,3,7:29,PPG,Niskanen,Malkin,Crosby
2014-03-04,NSH,R,3,17:05,ES,Kunitz,Crosby,
2014-03-06,SJS,R,1,15:09,ES,Maatta,Glass,Goc
2014-03-06,SJS,R,1,16:21,PPG,Kunitz,Malkin,
2014-03-06,SJS,R,3,5:39,PPG,Maatta,Sutter,Jokinen
2014-03-07,ANA,R,1,7:47,ES,Engelland,Jokinen,Malkin
2014-03-07,ANA,R,3,8:57,PPG,Malkin,Neal,Crosby
2014-03-10,WSH,R,1,0:46,ES,Kunitz,Crosby,Stempniak
2014-03-10,WSH,R,1,3:52,PPG,Crosby,Malkin,Maatta
2014-03-10,WSH,R,2,12:40,ES,Kunitz,Stempniak,Crosby
2014-03-11,WSH,H,1,16:41,ES,Jokinen,Niskanen,Malkin
2014-03-11,WSH,H,3,14:12,ES,Crosby,Stempniak,
2014-03-16,PHI,H,1,17:33,ES,Orpik,Bortuzzo,Vitale
2014-03-16,PHI,H,2,5:50,ES,Niskanen,Scuderi,Jokinen
2014-03-16,PHI,H,2,16:19,ES,Megna,Gibbons,
2014-03-18,DAL,H,1,4:17,ES,Crosby,Adams,
2014-03-18,DAL,H,1,15:25,ES,Kunitz,Stempniak,
2014-03-18,DAL,H,2,13:21,ES,Stempniak,Kunitz,Crosby
2014-03-18,DAL,H,3,1:56,ES,Crosby,Stempniak,Niskanen
2014-03-18,DAL,H,3,12:47,SHG,Sutter,Gibbons,Bortuzzo
2014-03-20,DET,R,2,15:17,ES,Stempniak,Kunitz,Bortuzzo
2014-03-20,DET,R,2,15:42,ES,Malkin,Neal,Jokinen
2014-03-20,DET,R,2,17:58,PPG,Malkin,Neal,Jokinen
2014-03-20,DET,R,3,14:17,ES,Adams,Sutter,Gibbons
2014-03-22,TBL,H,2,5:29,PPG,Crosby,Malkin,Zatkoff
2014-03-22,TBL,H,3,11:07,PPG,Malkin,Niskanen,Crosby
2014-03-22,TBL,H,3,16:43,ES,Malkin,Jokinen
2014-03-22,TBL,H,OT,1:27,PPG,Neal,Malkin,Crosby
2014-03-25,PHX,H,1,11:51,PPG,Jokinen,Neal,Crosby
2014-03-25,PHX,H,1,19:55,ES,Pyatt,Scuderi,Despres
2014-03-27,LAK,H,2,7:33,ES,Kunitz,Megna,Crosby
2014-03-27,LAK,H,2,15:42,ES,Pyatt,Gibbons,Goc
2014-03-28,CBJ,R,3,10:35,ES,Kunitz,Crosby,Engelland
2014-03-28,CBJ,R,3,11:22,ES,Bennett,Bortuzzo,
